Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Добавлен уведомитель (нотифаер) в Flux при завершении сборки."
ГДД,Сервис расчета зарплаты,"Удален неактивный пользователь из списка подчиненных."
ГДД,Сервис расчета зарплаты,"Реализовано получение плана по конкретной группе."
ГДД,Сервис расчета зарплаты,"Добавлен дополнительный заказ в расчеты."
ГДД,Сервис расчета зарплаты,"Автоматизирована генерация API роутера."
ГДД,Сервис расчета зарплаты,"Реализовано получение информации о пользователе."
ГДД,Сервис расчета зарплаты,"Расширен список заказов, которые ещё не отгружены."
ГДД,Сервис расчета зарплаты,"Добавлен вывод значений планов для директора."
ГДД,Сервис расчета зарплаты,"Расширен метод получения плана для подчинённого сотрудника."
ГДД,Сервис расчета зарплаты,"Добавлено получение плана по ID."
ГДД,Сервис расчета зарплаты,"Реализовано изменение плана через метод patch."
ГДД,Сервис расчета зарплаты,"Текущее количество перенесено в модель плана."
ГДД,Сервис расчета зарплаты,"Добавлена заглушка для текущего количества."
ГДД,Сервис расчета зарплаты,"Добавлен вывод плана и установленного плана по конкретной группе."
ГДД,Сервис расчета зарплаты,"Добавлен список планов подчинённых, разделённых по группам."
ГДД,Сервис расчета зарплаты,"Добавлен алгоритм перерасчета и написаны тесты."
ГДД,Сервис расчета зарплаты,"Добавлена сводная информация (summary) по планам."
ГДД,Сервис расчета зарплаты,"Реализовано получение планов подчинённых сотрудников."
ГДД,Сервис расчета зарплаты,"План по ReaTreat выведен в фактические данные."
ГДД,Сервис расчета зарплаты,"Добавлено API для работы с планами."
ГДД,Сервис расчета зарплаты,"Разработан алгоритм общего совмещения зарплаты."
ГДД,Сервис расчета зарплаты,"Обновлен базовый репозиторий."
ГДД,Сервис расчета зарплаты,Проведен рефакторинг.
ДЭ,Сервис дашбордов,"Исправлено отображение больших планов на дашборде."
ДЭ,Сервис подтверждений,"Добавлена поддержка командировок."
ДЭ,Работа с сервером,"Добавлена проверка для платёжных систем на случай недоступности 1С."
ДЭ,Работа с сервером,"Обновлен чарт для работы с GitLab."
