Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Убраны из бонусов в регионах партнеры не закрепленные менеджером 
ГДД,Сервис расчета зарплаты,Добавлен отчет по регионам 
ГДД,Сервис расчета зарплаты,Добавлена логика расчета бонусов по регионам 
ГДД,Сервис расчета зарплаты,Добавлены регионы в план 
ГДД,Сервис расчета зарплаты,Добавлено разделение настройки синхронизации заказов 
ГДД,Сервис расчета зарплаты,Добавлен перетекающий план в отчет региональных представителей 
ГДД,Сервис расчета зарплаты,Обновлен расчет зарплаты с планом по городу 
ГДД,Сервис расчета зарплаты,Добавлена возможность привязки нескольких юр лиц к пользователю 
ГДД,Сервис расчета зарплаты,"Добавлена модель, репозиторий, сервис и API для учета KPI "
ГДД,Сервис расчета зарплаты,Добавлена возможность выбора юр лица в отчете региональных представителей 
ГДД,Сервис расчета зарплаты,Добавлен список своих юр лиц 
ГДД,Сервис расчета зарплаты,Добавлен алгоритм выноса планов одного юр лица на 2 
ГДД,Сервис расчета зарплаты,Добавлен отчет о несоответствии плана РОП с планами менеджеров 
ГДД,Сервис расчета зарплаты,Убраны еженедельные премии 
ГДД,Общая библиотека,Исправлена аутентификация 
ГДД,Сервис подтверждений,Исправлена ошибка с подтверждением баннеров через телеграм 
ГДД,Сервис платежных систем,Добавлена проверка для заказов прошлого года 
ГДД,Работа с сервером,Убран старый отчет 
ГДД,Работа с сервером,Перенос test.gof.dental на crm.gof.dental 
