Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Удалены планы неактивных партнеров ,80
ГДД,Сервис расчета зарплаты,Добавлено создание партнера из bitrix ,1
ГДД,Сервис расчета зарплаты,Создание расчета бонусов за новые курсы ,2
ГДД,Сервис расчета зарплаты,Обновлен отчет по суммарным бонусам за курсы ,4
ГДД,Сервис расчета зарплаты,Доработана система расчета архивных курсов ,3
ГДД,Сервис расчета зарплаты,Переработаны калькуляторы расчета зарплаты отдела обучения ,3
ГДД,Сервис расчета зарплаты,Добавлены алгоритмы расчета дентеду ,2
ГДД,Сервис расчета зарплаты,Добавлены 2 неотгруженных заказа к Мирчеву ,2
ГДД,Сервис расчета зарплаты,Доработка расчета зарплаты Логоша ,2
ГДД,Сервис расчета зарплаты,Исправление запроса ,1
ГДД,Сервис расчета зарплаты,Добавлен метод обновления email и телефонов у партнеров ,2
ГДД,Сервис расчета зарплаты,Переработан механизм черных и белых списков ,1
ГДД,Сервис расчета зарплаты,Убраны устаревшие аргументы ,2
ГДД,Сервис расчета зарплаты,Переработан запрос в 1с ,1
ГДД,Сервис расчета зарплаты,6390 убран из расчета ,2
ГДД,Сервис расчета зарплаты,Вывод суммы обернут в страницы ,4
ГДД,Сервис расчета зарплаты,Переработана структура запроса в 1с ,2
ГДД,Сервис расчета зарплаты,Добавлена схема менеджера в позицию заказа ,3
ГДД,Сервис расчета зарплаты,Заказы без флага к отгрузке теперь учавствуют в расчете ,2
ГДД,Сервис расчета зарплаты,Добавлен ноутбук под dentedu ,5
ГДД,Сервис расчета зарплаты,Исправление запроса в 1с ,5
ГДД,Сервис расчета зарплаты,Убраны РОПы из расчета KPI ,1
ГДД,Сервис расчета зарплаты,Добавлено игнорирование проверки на отгрузку у заказов с задержкой поставки ,1
ГДД,Работа с сервером,Добавлен токен для пользователя ,3
