
Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Добавить уведомитель (нотифаер) в Flux при завершении сборки."
ГДД,Сервис расчета зарплаты,"Удалить неактивных пользователей из списка подчиненных."
ГДД,Сервис расчета зарплаты,"Реализовать возможность получения плана по конкретной группе."
ГДД,Сервис расчета зарплаты,"Добавить дополнительные заказы в расчеты."
ГДД,Сервис расчета зарплаты,"Автоматизировать генерацию API роутера."
ГДД,Сервис расчета зарплаты,"Реализовать получение информации о пользователе."
ГДД,Сервис расчета зарплаты,"Расширить список заказов, которые ещё не отгружены."
ГДД,Сервис расчета зарплаты,"Добавить вывод значений планов для директора."
ГДД,Сервис расчета зарплаты,"Расширить метод получения плана для подчинённого сотрудника."
ГДД,Сервис расчета зарплаты,"Реализовать получение плана по ID."
ГДД,Сервис расчета зарплаты,"Добавить возможность изменения плана через метод patch."
ГДД,Сервис расчета зарплаты,"Перенести текущее количество в модель плана."
ГДД,Сервис расчета зарплаты,"Добавить заглушку для текущего количества."
ГДД,Сервис расчета зарплаты,"Реализовать вывод плана и установленного плана по конкретной группе."
ГДД,Сервис расчета зарплаты,"Добавить список планов подчинённых, разделённых по группам."
ГДД,Сервис расчета зарплаты,"Разработать алгоритм перерасчета и написать тесты."
ГДД,Сервис расчета зарплаты,"Добавить возможность вывода сводной информации (summary) по планам."
ГДД,Сервис расчета зарплаты,"Реализовать возможность получения планов подчинённых сотрудников."
ГДД,Сервис расчета зарплаты,"Перенести план по ReaTreat в фактические данные."
ГДД,Сервис расчета зарплаты,"Реализовать API для работы с планами."
ГДД,Сервис расчета зарплаты,"Разработать алгоритм общего совмещения зарплаты."
ГДД,Сервис расчета зарплаты,"Обновить базовый репозиторий."
ГДД,Сервис расчета зарплаты,"Провести рефакторинг."
ДЭ,Сервис дашбордов,"Исправить отображение больших планов на дашборде."
ДЭ,Сервис подтверждений,"Добавить поддержку командировок."
ДЭ,Работа с сервером,"Реализовать проверку для платёжных систем на случай недоступности 1С."
ДЭ,Работа с сервером,"Обновить чарт для работы с GitLab."
