Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,"Добавить новых региональных партнеров."
ГДД,Сервис расчета зарплаты,"Реализовать перерасчет бонусов при изменении плана."
ГДД,Сервис расчета зарплаты,"Добавить периодическую связь между пользователем и руководителем."
ГДД,Сервис расчета зарплаты,"Изменить проценты у РОПов."
ГДД,Сервис расчета зарплаты,"Добавить дженерики."
ГДД,Сервис расчета зарплаты,"Реализовать рекурсивное получение сотрудников по периоду."
ГДД,Сервис расчета зарплаты,"Добавить вывод должности у пользователей."
ГДД,Сервис расчета зарплаты,"Создать абстрактные тесты для расчета бонусов."
ГДД,Сервис расчета зарплаты,"Добавить Endoseal MTA в список планов."
ГДД,Сервис расчета зарплаты,"Выставить планы для РОПов."
ГДД,Сервис дашбордов,"Исправить отображение больших планов на дашборде."
ГДД,Общая библиотека,"Перенести создание сессии в клиентах на первый запрос."
ГДД,Сервис платежных систем,"Добавить метод для повторной отправки заказов."
ГДД,Работа с сервером,"Добавить проверку для платежных систем на случай недоступности 1С."
ГДД,Сервис расчета зарплаты,"Изменить агрегацию суммарного плана."
ГДД,Сервис расчета зарплаты,"Доработать выгрузку заказов."
ГДД,Сервис расчета зарплаты,"Исправить расчет за прошлые периоды."
ГДД,Сервис расчета зарплаты,"Исправить расчет для торгующих сотрудников."
ГДД,Сервис расчета зарплаты,"Добавить синхронизацию заказов."
ГДД,Сервис расчета зарплаты,"Реализовать группировку в годовом отчете."
ГДД,Сервис расчета зарплаты,"Добавить партнера в список выставленных планов."
ГДД,Сервис расчета зарплаты,"Реализовать схему суммарного плана."
ГДД,Сервис расчета зарплаты,"Добавить отчет план-факт за период."
