"Организация","Сервис","Задача"
"ГДД","Сервис расчета зарплаты","Выводить перетекающий план в отчет по подчиненным"
"ГДД","Сервис расчета зарплаты","Добавить расчет и отображение перетекающего плана по регионам"
"ГДД","Сервис расчета зарплаты","Подключить scalar для работы с базой"
"ГДД","Сервис расчета зарплаты","Сделать отчет по региональному представителю"
"ГДД","Сервис расчета зарплаты","Проверять закрепление правильного менеджера перед расчетами"
"ГДД","Сервис расчета зарплаты","Создать отчет по ЭДУ"
"ГДД","Сервис расчета зарплаты","Вывести отдельный отчет по Вердяну"
"ГДД","Сервис расчета зарплаты","Показывать премии ЭДУ в отчетах"
"ГДД","Сервис расчета зарплаты","Установить индивидуальные проценты по Астрахани для Вердяна"
"ГДД","Сервис расчета зарплаты","Загрузить новый план по регионам"
"ГДД","Сервис расчета зарплаты","Обновить проценты бонусов и добавить проценты по обтурации"
"ГДД","Сервис расчета зарплаты","Добавить расчет зарплаты Вердяна"
"ГДД","Сервис расчета зарплаты","Изменить запрос так, чтобы исключить сделки в ожидании оплаты (исправить смещение отгрузок между месяцами)"
"ГДД","Общая библиотека","Исправить работу аутентификации"
"ГДД","Общая библиотека","Добавить декодирование текста запроса при логировании"
"ГДД","Сервис подтверждений","Добавить подтверждение для неоплаченных заказов"
"ГДД","Сервис подтверждений","Реализовать функционал командировок"
"ГДД","Сервис платежных систем","Проверять заказы за прошлый год перед оплатой"
"ГДД","Работа с сервером","Перенести домен с test.gof.dental на crm.gof.dental"
"ГДД","Сервис авторизации","Переписать сервис авторизации с использованием PostgreSQL и FastAPI"
"ГДД","Сервис личного склада","Добавить возможность выбора склада вручную"
