Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Исправить создание партнеров,5
ГДД,Сервис расчета зарплаты,Переработать расчет бонусов по курсам ДентЭду,2
ГДД,Сервис расчета зарплаты,Добавить метод детального просмотра заказов с главной страницы,5
ГДД,Сервис расчета зарплаты,Добавить систему прав в привязке заказов,8
ГДД,Сервис расчета зарплаты,Добавить перерасчет бонусов при замене менеджера,4
ГДД,Сервис расчета зарплаты,Добавить принудительную замену менеджера в заказе,5
ГДД,Сервис расчета зарплаты,Добавить поиск заказов по похожему номеру/партнеру/менеджеру,5
ГДД,Сервис расчета зарплаты,Добавить вывод списка заказов,4
ГДД,Сервис расчета зарплаты,Исправить выгрузку отчета по зарплате,5
ГДД,Сервис расчета зарплаты,Убрать обнуление бонусов дентеду,5
ГДД,Сервис расчета зарплаты,Исправить нейминги,5
ГДД,Сервис замены брака,Добавить CICD пайплайн gitlab,5
ГДД,Сервис подтверждений,Добавить получение id через телеграм,7
ГДД,Сервис работы с товарами,Добавить группу ГоффДД,9
ГДД,Работа с сервером,Обновить тэг postgresql,6
