"Организация","Сервис","Задача","Время"
"ГДД","Сервис расчета зарплаты","Добавить количество и сумму продаж по курсу для метрик KPI","1"
"ГДД","Сервис расчета зарплаты","Добавить синхронизацию с Dentedu и отчет по курсам с интеграцией обучающей платформы","4"
"ГДД","Сервис расчета зарплаты","Исправить расчет бонусов Мирчева по регионам кроме Москвы для корректного расчета","4"
"ГДД","Сервис расчета зарплаты","Убрать дни из KPI, в которые менеджер пришел на курс, для корректировки учета","2"
"ГДД","Сервис расчета зарплаты","Добавить эндпоинт для универсальных отчетов для расширения API","2"
"ГДД","Сервис расчета зарплаты","Добавить .editorconfig для унификации кодстайла команды","5"
"ГДД","Сервис расчета зарплаты","Переделать вывод встреч на массив для упрощения формата данных","5"
"ГДД","Сервис расчета зарплаты","Добавить вывод нулевой зарплаты при отсутствии данных для обработки пустых данных","2"
"ГДД","Сервис расчета зарплаты","Добавить вывод штрафов и оклада на главной странице для отображения информации","5"
"ГДД","Сервис расчета зарплаты","Добавить таблицу с расчетом KPI для визуализации","3"
"ГДД","Сервис расчета зарплаты","Добавить расчет KPI от активностей для учета взаимодействий менеджеров","2"
"ГДД","Сервис расчета зарплаты","Выставить планы на регионы по Мирчеву для формирования индивидуальных планов","3"
"ГДД","Сервис расчета зарплаты","Убрать трансфер планов из psql в mongodb для упрощения архитектуры хранения данных","5"
"ГДД","Сервис расчета зарплаты","Выставить план РОП суммой планов сотрудников для агрегации на уровне руководства","6"
"ГДД","Сервис расчета зарплаты","Зафиксировать план в факт за апрель для Медведева и Собаева","1"
"ГДД","Сервис расчета зарплаты","Добавить шаблоны для создания роутеров для снижения рутины в API","1"
"ГДД","Сервис расчета зарплаты","Добавить обработку входящей информации о KPI из Bitrix для интеграции с CRM","2"
"ГДД","Сервис расчета зарплаты","Добавить механизм определения количества рабочих дней для точного расчета KPI","2"
"ГДД","Сервис расчета зарплаты","Перенести планы с Вердяна на Мутных по Астрахани для корректировки кадров","2"
"ГДД","Сервис расчета зарплаты","Объединить группы Glyde MasterSafe OpenerS-flexi для упрощения аналитики по товарам","4"
"ГДД","Общая библиотека","Добавить получение пользователя по фильтрам для гибкого поиска и выборки","6"
"ГДД","Сервис платежных систем","Добавить проверку для заказов прошлого года для предотвращения дублирующих выплат","2"
"ГДД","Работа с сервером","Добавить учетные данные клиенту dentedu для обеспечения доступа","3"
"ГДД","Работа с сервером","Добавить сабдомен minioui для выделения интерфейса в отдельную зону","5"
"ГДД","Работа с сервером","Изменить количество памяти у minio для оптимизации ресурсов сервера","3"
"ГДД","Сервис расчета зарплаты","Настроить права доступа к отчетам по KPI для контроля безопасности","4"
"ГДД","Сервис расчета зарплаты","Обновить формат выгрузки Excel для отчетов для улучшения совместимости","3"
"ГДД","Сервис расчета зарплаты","Добавить фильтрацию данных по дате в отчетах для гибкости генерации","3"
"ГДД","Сервис расчета зарплаты","Оптимизировать SQL-запросы для ускорения работы системы","6"
"ГДД","Сервис расчета зарплаты","Добавить авторизацию по токену для внешних API для безопасности интеграций","5"
"ГДД","Сервис расчета зарплаты","Добавить страницу с отчетами по KPI в админку для удобства администраторов","5"
"ГДД","Сервис расчета зарплаты","Внедрить систему логирования операций API для мониторинга активности и ошибок","4"
"ГДД","Сервис расчета зарплаты","Добавить комментарии в код и документацию функций для улучшения поддержки","4"
"ГДД","Сервис расчета зарплаты","Переработать структуру базы данных KPI для подготовки к масштабированию","6"
"ГДД","Сервис расчета зарплаты","Добавить расчет среднего KPI по сотрудникам для аналитики команды","3"
"ГДД","Сервис расчета зарплаты","Разработать unit-тесты для расчета KPI для повышения стабильности","5"
"ГДД","Сервис расчета зарплаты","Разработать unit-тесты для выгрузки бонусов для проверки корректности отчетов","4"
"ГДД","Сервис расчета зарплаты","Провести ревью кода и устранить замечания для поддержания качества разработки","4"
"ГДД","Сервис расчета зарплаты","Провести интеграцию с новым источником данных по продажам для актуализации","6"
"ГДД","Сервис расчета зарплаты","Настроить отправку уведомлений об ошибках KPI для оперативного информирования","3"
"ГДД","Сервис расчета зарплаты","Оптимизировать хранение логов расчета KPI для снижения нагрузки","3"
"ГДД","Сервис расчета зарплаты","Добавить функционал ручного запуска перерасчета KPI для гибкости управления","4"
"ГДД","Сервис расчета зарплаты","Реализовать расчет KPI за произвольный период для расширенной аналитики","4"
"ГДД","Сервис расчета зарплаты","Добавить кнопку экспорта отчета KPI в PDF для удобства передачи данных","4"
