Организация,Сервис,Задача,Время
ГДД,Сервис расчета зарплаты,Добавлена очистка таблиц бонусов и kpi ,6
ГДД,Сервис расчета зарплаты,"Обновлены эндпоинты meetings и activities, добавлен recalculate ",9
ГДД,Сервис расчета зарплаты,Обновлен сервис для kpi ,7
ГДД,Сервис расчета зарплаты,Добавлены репозиторий и сервис для kpi таблицы ,7
ГДД,Сервис расчета зарплаты,Добавлена модель для таблицы kpi ,6
ГДД,Сервис расчета зарплаты,Kpi перенесен в эндпоинт и добавлена проверка для обновления зарплат ,5
ГДД,Сервис расчета зарплаты,Добавлены отчеты по встречам и активностям ,7
ГДД,Сервис расчета зарплаты,Первичная версия kpi ,4
ГДД,Сервис расчета зарплаты,Добавлена функция расчета kpi для встреч ,9
ГДД,Сервис расчета зарплаты,Добавлен эндпоинт для расчета долгов ,7
ГДД,Сервис расчета зарплаты,Переделал генерацию роутеров ,9
ГДД,Сервис подтверждений,Заменен тег ,4
