Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Отключить автотрансфер планов.
ГДД,Сервис расчета зарплаты,Исправить ошибки в отчетах по дочерним компаниям.
ГДД,Сервис расчета зарплаты,Добавить отображение долгов за весь период.
ГДД,Сервис расчета зарплаты,Реализовать отображение долгов в разрезе года.
ГДД,Сервис расчета зарплаты,Удалить Дмитриенко и Эстетику из списка.
ГДД,Сервис расчета зарплаты,Реализовать перенос планов по партнерам.
ГДД,Сервис расчета зарплаты,Добавить возможность выставления плана по группам.
ГДД,Сервис расчета зарплаты,Создать отчет по регионам терапии.
ГДД,Сервис расчета зарплаты,Создать отчет по регионам.
ГДД,Сервис расчета зарплаты,Добавить информацию об условиях начисления бонусов.
ГДД,Сервис расчета зарплаты,Добавить информацию о суммах заказов за период.
ГДД,Сервис расчета зарплаты,"Реализовать сортировку данных на главной странице (Оплачено, Отгружено, Долг)."
ГДД,Сервис расчета зарплаты,Создать метод получения суммы бонусов.
ГДД,Сервис расчета зарплаты,Доработать отчеты.
ГДД,Сервис расчета зарплаты,Реализовать метод массовой отправки заказов.
ГДД,Сервис расчета зарплаты,Добавить обработку незакрытых заказов.
ГДД,Сервис расчета зарплаты,Исправить ошибки в запросе заказов.
ГДД,Сервис расчета зарплаты,"Добавить детализацию по долгам, отгрузкам и оплатам для партнеров и менеджеров."
ГДД,Сервис расчета зарплаты,Реализовать проверку роли для запуска расписания.
ГДД,Сервис расчета зарплаты,"Создать отчет по оплаченным и отгруженным сделкам."
ГДД,Сервис расчета зарплаты,Добавить план подчиненных в основной отчет по сотрудникам.
ГДД,Сервис расчета зарплаты,Выполнить расчет за ноябрь.
ГДД,Сервис расчета зарплаты,Обновить процесс трансфера планов из тестовой среды в продакшн.
ГДД,Работа с сервером,Выполнить бэкап базы данных.
