Организация,Сервис,Задача
ГДД,Сервис расчета зарплаты,Изменить расписание синхронизации заказов
ГДД,Сервис расчета зарплаты,Добавить уведомления при ошибках расчета
ГДД,Сервис расчета зарплаты,"Разделить план розницы и торгующих: учитывать торгующих в ЗП за оптовые продажи, но исключить из общего плана"
ГДД,Сервис расчета зарплаты,"Сделать отдельный план по торгующим в сумме"
ГДД,Сервис расчета зарплаты,"Объединить K-File и H-file в одну группу"
ГДД,Сервис расчета зарплаты,Реализовать регламентный расчет премий и вывод его по API
ГДД,Сервис расчета зарплаты,Перенести расчеты еженедельных бонусов и бонусов по сумме в отдельный блок
ГДД,Сервис работы с товарами,Добавить возможность указывать акционный вид цены
ГДД,Сервис работы с товарами,Добавить список позиций акционных товаров
ГДД,Сервис платежных систем,"Добавить проверку для заказов, оформленных в прошлом году"
ГДД,Работа с сервером,Добавить клиента для отображения страницы акционных товаров
ГДД,Работа с сервером,Настроить релиз Minio
